source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
CLM-011,market,market_pricing,中际旭创当前 PE 35-40x（2025E）,东方财富/同花顺,verified,L5,2026-06-07,2026-06-07,东方财富 F10,monitoring_loop,industry-concept-analysis,high,实时市场数据,实时市场数据,market_pricing,current,no_conflict,use_as_is,incremental
CLM-012,market,market_pricing,沪电股份当前 PE 25-30x（2025E）,东方财富/同花顺,verified,L5,2026-06-07,2026-06-07,东方财富 F10,monitoring_loop,industry-concept-analysis,high,实时市场数据,实时市场数据,market_pricing,current,no_conflict,use_as_is,incremental
CLM-013,thesis,assumption,假设 NVIDIA 2025 capex 维持 +50% YoY（2025 1300 亿）,Mira assumption,hypothesis,L6,2026-06-07,2026-06-07,Mira assumption 框架,research_orchestrator,industry-concept-analysis,low,产业链 read-through,产业链 read-through,hypothesis,stale,no_data,use_with_caveat,blocking
CLM-014,thesis,assumption,假设 5G-A 投资 2025-2026 维持高位,Mira assumption,hypothesis,L6,2026-06-07,2026-06-07,Mira assumption 框架,research_orchestrator,industry-concept-analysis,low,产业链 read-through,产业链 read-through,hypothesis,stale,no_data,use_with_caveat,blocking
CLM-015,thesis,opinion,Mira 协议判断 008327 thesis_state = active / upgrade_watch,Mira monitoring-loop,verified,L2,2026-06-07,2026-06-07,thesis_ledger.json,monitoring_loop,industry-concept-analysis,medium,Mira 8 状态机输出,Mira 8 状态机输出,thesis_state,current,no_conflict,use_as_is,incremental
CLM-016,sentiment,rumor,2025 Q2 中际旭创业绩可能不及预期（雪球 1 个帖子）,雪球,unverified,L6,2026-06-07,2026-06-07,雪球帖子,monitoring_loop,industry-concept-analysis,low,雪球 1 个帖子,雪球 1 个帖子,weak_signal,current,no_data,filter_out,blocking
CLM-017,portfolio,fact,008327 通信 ETF 2024 年报规模约 80 亿元（2025 Q1 持续增长）,akshare fund_overview,verified,L2,2025-03-31,2026-06-07,akshare fund_overview,monitoring_loop,industry-concept-analysis,high,基金合同披露,基金合同披露,reported_fact,current,no_conflict,use_as_is,incremental
CLM-018,market,forecast,2026 CSP capex +30% YoY（Meta/Google/Microsoft）,Bloomberg consensus,verified,L4,2025-05-15,2026-06-07,Bloomberg consensus,monitoring_loop,industry-concept-analysis,high,Bloomberg 综合预测,Bloomberg 综合预测,forecast,current,no_conflict,use_as_is,incremental
CLM-019,supply,fact,InP 衬底全球 60% 由 AXTI 提供,行业披露,verified,L4,2025-01-15,2026-06-07,中金/中信建投研报,monitoring_loop,industry-concept-analysis,high,行业披露,行业披露,reported_fact,current,no_conflict,use_as_is,incremental
CLM-020,market,market_pricing,008327 通信 ETF 2026-06-07 净值 1.234（YoY +18%）,akshare fund_nav,verified,L5,2026-06-07,2026-06-07,akshare fund_nav,monitoring_loop,industry-concept-analysis,high,实时市场数据,实时市场数据,market_pricing,current,no_conflict,use_as_is,incremental
